Rue;Code Bureau;Bureau de Vote;Score Priorité;Nb Électeurs;Nb Foyers;Électeurs/Foyer;Âge Moyen;% Natifs Vendée;% Hommes
RUE ERNEST DELVAUT (85100);8;ECOLE MATERNELLE DES JARDINS;33,75;37;19;1,95;56,38;35,14;35,14
ALLEE DE L'ORANGERIE [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;33,73;19;10;1,90;53,11;10,53;57,89
RUE NAPOLEON (85100);1;HOTEL DE VILLE;33,73;66;39;1,69;55,23;37,88;45,45
IMPASSE MADELEINE BRÈS [CHATEAU D'OLONNE] (85180);15;GALERIE DES RIAUX;33,71;11;5;2,20;54,09;27,27;54,55
RUE DES CANISSES (85340);34;CENTRE JEAN DE LA FONTAINE ;33,71;21;11;1,91;53,62;76,19;42,86
RUE JEAN-BAPTISTE CLEMENT (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;33,70;13;7;1,86;51,54;69,23;46,15
ALLEE JEAN-BAPTISTE GUILLOT (85100);7;SALLE AUDUBON N°1;33,69;13;8;1,63;43,08;38,46;46,15
RUE RENÉ CASSIN [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;33,69;38;26;1,46;47,00;26,32;50,00
RUE MICHEL COLUCCI [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;33,69;18;11;1,64;47,83;27,78;55,56
RUE DES VULCAINS [OLONNE SUR MER] (85340);26;LYCEE ERIC TABARLY;33,68;20;11;1,82;51,75;35,00;50,00
RUE DU CANAL [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;33,68;30;19;1,58;48,30;46,67;43,33
RUE GUSTAVE FLAUBERT [CHATEAU D'OLONNE] (85180);17;CENTRE DE LOISIRS DES PLESSES;33,68;11;7;1,57;45,64;18,18;63,64
RUE DES GATINES (85100);11;CENTRE DE LOISIRS DE L'ARMANDECHE N°2;33,67;23;9;2,56;55,83;52,17;52,17
RUE DE L'AIGUILLON (85100);5;CENTRE DE LOISIRS DE L'ARMANDECHE N°1;33,67;171;102;1,68;59,63;33,92;43,27
RUE DE L'ARMISTICE (85100);4;ECOLE MATERNELLE CLEMENCEAU;33,67;14;6;2,33;54,64;42,86;50,00
RUE PIERRE LOTI [CHATEAU D'OLONNE] (85180);3;CONSERVATOIRE MARIN MARAIS;33,66;26;16;1,63;48,77;30,77;46,15
RUE DES ROCHERS (85340);33;COLONIE DE SAUVETERRE;33,66;26;13;2,00;56,27;30,77;50,00
RUE DOMINIQUE LARREY [CHATEAU D'OLONNE] (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;33,65;28;14;2,00;56,57;25,00;50,00
RUE DES GRANDS RIAUX [CHATEAU D'OLONNE] (85180);15;GALERIE DES RIAUX;33,65;45;27;1,67;52,18;37,78;46,67
RUE DES RAVENELLES [OLONNE SUR MER] (85340);27; GYMNASE DES CHIRONS;33,64;11;6;1,83;51,00;45,45;54,55
IMPASSE DES TADORNES (85340);31;LE STELLA;33,63;11;5;2,20;54,36;36,36;54,55
RUE DU PRE ETIENNE [CHATEAU D'OLONNE] (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;33,63;35;18;1,94;56,46;11,43;48,57
RUE DU HAMEAU DE LA BERGERIE [OLONNE SUR MER] (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;33,62;27;17;1,59;48,30;18,52;37,04
ROUTE DU CHATEAU D'OLONNE (85100);3;CONSERVATOIRE MARIN MARAIS;33,58;100;61;1,64;59,18;24,00;45,00
IMPASSE ROBERT SURCOUF (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;33,57;19;9;2,11;55,63;10,53;47,37
RUE DES LILAS (85100);7;SALLE AUDUBON N°1;33,57;15;8;1,88;52,60;26,67;53,33
AVENUE DES BOSQUETS (85100);35;SALLE AUDUBON N°2;33,56;76;38;2,00;63,28;25,00;51,32
RUE DE LA CROIX BLANCHE [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;33,54;47;32;1,47;48,83;19,15;34,04
RUE DU VIVIER (85180);21;LA MAISON DES SPORTS;33,54;42;21;2,00;58,81;66,67;40,48
RUE DE PARISSE (85100);5;CENTRE DE LOISIRS DE L'ARMANDECHE N°1;33,54;133;73;1,82;62,98;30,08;48,12
RUE DES GRANDES DEMOISELLES (85340);26;LYCEE ERIC TABARLY;33,52;19;9;2,11;55,79;15,79;47,37
ALLEE DES EMERAUDES (85340);30;OLONNESPACE;33,52;42;20;2,10;58,86;47,62;45,24
AVENUE D'ANJOU (85100);2;AUDITORIUM SAINT-MICHEL;33,51;205;134;1,53;57,23;35,61;40,98
RUE JEAN NEAU (85100);35;SALLE AUDUBON N°2;33,50;10;6;1,67;48,00;30,00;50,00
RUE DES TRAPONNIERES (85100);9;OFFICE DU TOURISME DE LA GARE ;33,48;43;19;2,26;59,14;27,91;44,19
RUE GUSTAVE EIFFEL (85180);17;CENTRE DE LOISIRS DES PLESSES;33,47;38;18;2,11;58,50;39,47;44,74
RUE GUILLAUME DUPUYTREN [CHATEAU D'OLONNE] (85180);15;GALERIE DES RIAUX;33,47;11;5;2,20;54,91;18,18;45,45
ALLEE DE ROCHEBONNE (85180);20;COLONIE KER-NETRA;33,46;10;5;2,00;54,80;10,00;50,00
RUE FLORA TRISTAN (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;33,46;25;12;2,08;56,80;52,00;40,00
RUE ROBERVAL (85180);21;LA MAISON DES SPORTS;33,46;45;23;1,96;58,60;44,44;52,17
PLACE DU POILU DE FRANCE (85100);1;HOTEL DE VILLE;33,46;27;11;2,45;57,07;25,93;74,07
CHEMIN DU PAS RENAUD [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;33,44;15;10;1,50;45,53;53,33;46,67
RUE DU PAS MAUVAIS [OLONNE SUR MER] (85340);31;LE STELLA;33,44;18;11;1,64;41,33;33,33;44,44
RUE MATHIEU ST JOUAN (85100);9;OFFICE DU TOURISME DE LA GARE ;33,43;112;65;1,72;61,35;38,39;46,43
RUE JEAN BART [CHATEAU D'OLONNE] (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;33,43;11;7;1,57;43,55;18,18;63,64
RUE EMILE LANSIER [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;33,43;72;47;1,53;53,81;13,89;40,28
IMPASSE ROB. VEL (85340);30;OLONNESPACE;33,42;36;23;1,57;49,69;47,22;41,67
AVENUE RHIN ET DANUBE (85100);35;SALLE AUDUBON N°2;33,42;24;11;2,18;56,79;29,17;37,50
RUE DES OUCHES [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;33,42;20;13;1,54;47,05;30,00;45,00
ALLEE DES AIGUES MARINES [OLONNE SUR MER] (85340);30;OLONNESPACE;33,40;11;7;1,57;43,45;45,45;63,64
ALLEE GEORGES DELBARD (85100);7;SALLE AUDUBON N°1;33,40;14;9;1,56;43,36;21,43;57,14
RUE DU PETIT MONTAUBAN (85100);5;CENTRE DE LOISIRS DE L'ARMANDECHE N°1;33,40;60;29;2,07;61,67;18,33;50,00
RUE PRINTANIERE (85100);3;CONSERVATOIRE MARIN MARAIS;33,39;110;67;1,64;59,87;29,09;46,36
ALLEE DES MYRTILLES (85340);34;CENTRE JEAN DE LA FONTAINE ;33,38;55;30;1,83;57,73;54,55;43,64
ALLEE DE L'ARUNDEL [CHATEAU D'OLONNE] (85180);20;COLONIE KER-NETRA;33,38;16;9;1,78;51,44;31,25;31,25
IMPASSE DES JACINTHES [OLONNE SUR MER] (85340);27; GYMNASE DES CHIRONS;33,38;21;13;1,62;41,14;42,86;23,81
RUE MARCEL DORET (85100);7;SALLE AUDUBON N°1;33,37;30;15;2,00;57,77;30,00;66,67
RUE JEROME LEJEUNE [CHATEAU D'OLONNE] (85180);15;GALERIE DES RIAUX;33,37;12;7;1,71;49,67;58,33;33,33
RUE CLEMENT ADER (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;33,36;24;12;2,00;57,00;75,00;58,33
RUE ARLETTY [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;33,34;16;9;1,78;51,56;37,50;62,50
IMPASSE DES COURLIS [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;33,32;11;7;1,57;43,18;45,45;36,36
RUE DU MOULINEAU [CHATEAU D'OLONNE] (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;33,32;32;21;1,52;48,69;21,88;59,38
ALLEE DES AMETHYSTES (85340);30;OLONNESPACE;33,32;51;25;2,04;60,75;37,25;54,90
RUE MARTIN LUTHER KING (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;33,30;40;20;2,00;59,33;40,00;52,50
RUE DES GOBINIERES [CHATEAU D'OLONNE] (85180);15;GALERIE DES RIAUX;33,30;15;9;1,67;40,67;46,67;60,00
RUE DES CYGNES [OLONNE SUR MER] (85340);31;LE STELLA;33,29;30;18;1,67;51,37;26,67;46,67
RUE PIERRE CURIE [CHATEAU D'OLONNE] (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;33,28;15;9;1,67;49,40;66,67;53,33
ALLEE DE LA GARNAUDIERE (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;33,28;12;6;2,00;55,67;25,00;58,33
RUE DE LA GAUCHERE (85100);9;OFFICE DU TOURISME DE LA GARE ;33,27;66;44;1,50;52,91;40,91;48,48
RUE DE BEAUMONT (85180);21;LA MAISON DES SPORTS;33,26;84;50;1,68;58,93;54,76;51,19
RUE COLONEL BELTRAME (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;33,23;21;13;1,62;49,33;76,19;57,14
RUE DU CHAIL [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;33,23;10;6;1,67;41,10;60,00;40,00
RUE DES DOUANIERS [OLONNE SUR MER] (85340);31;LE STELLA;33,23;12;8;1,50;44,17;33,33;41,67
RUE DE LA DOROTTEE (85100);12;SALLE DES FETES DE LA CHAUME N°2;33,23;39;18;2,17;59,44;35,90;48,72
RUE DES NOUETTES [CHATEAU D'OLONNE] (85180);16;ECOLE PRIMAIRE DES NOUETTES;33,23;40;27;1,48;49,20;25,00;45,00
ALLEE DES CYTISES (85340);26;LYCEE ERIC TABARLY;33,22;23;10;2,30;57,35;65,22;47,83
ALLEE CONSTANT FRICONNEAU (85100);11;CENTRE DE LOISIRS DE L'ARMANDECHE N°2;33,21;12;6;2,00;55,92;33,33;41,67
RUE DE LA SILICE [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;33,20;18;10;1,80;37,28;27,78;50,00
IMPASSE LE TITIEN (85180);15;GALERIE DES RIAUX;33,19;35;16;2,19;59,03;22,86;51,43
RUE DES CORDELIERS (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;33,19;26;11;2,36;57,85;73,08;53,85
AVENUE D'AQUITAINE (85100);3;CONSERVATOIRE MARIN MARAIS;33,17;226;148;1,53;58,31;38,50;42,48
RUE PREUX MERLAND [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;33,17;15;8;1,88;36,07;60,00;40,00
RUE COLONEL BELTRAME [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;33,17;23;15;1,53;41,83;39,13;47,83
RUE COLETTE BESSON (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;33,17;11;4;2,75;55,91;72,73;54,55
RUE DE LA JUSTICE (85100);9;OFFICE DU TOURISME DE LA GARE ;33,15;101;59;1,71;62,07;27,72;36,63
CHEMIN DU PAS RENAUD (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;33,15;36;18;2,00;59,31;61,11;50,00
ALLEE DE LA MEILLERAIE [OLONNE SUR MER] (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;33,13;20;13;1,54;48,00;20,00;40,00
AVENUE DES GENETS [CHATEAU D'OLONNE] (85180);20;COLONIE KER-NETRA;33,10;42;28;1,50;50,26;21,43;50,00
RUE JEAN MOULIN (85100);1;HOTEL DE VILLE;33,10;43;26;1,65;53,49;30,23;46,51
COUREE DES EPHEMERES [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;33,07;16;11;1,45;46,00;25,00;50,00
RUE CHANZY (85100);1;HOTEL DE VILLE;33,07;20;10;2,00;57,45;20,00;50,00
RUE BORIS VIAN [CHATEAU D'OLONNE] (85180);13;MAIRIE ANNEXE DU CHATEAU D'OLONNE;33,06;11;5;2,20;56,27;9,09;45,45
RUE DES AMARYLLIS (85340);27; GYMNASE DES CHIRONS;33,05;29;13;2,23;58,69;58,62;55,17
RUE DES MERCIER CHARLES ET FELIX (85100);9;OFFICE DU TOURISME DE LA GARE ;33,02;15;9;1,67;50,27;26,67;53,33
RUE DE LA JOSEPHINE (85180);21;LA MAISON DES SPORTS;33,02;19;10;1,90;55,47;63,16;52,63
RUE JEANNE D'ARC (85100);8;ECOLE MATERNELLE DES JARDINS;33,01;21;10;2,10;57,76;9,52;47,62
CHEMIN DE LA MOULINE [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;33,01;23;16;1,44;46,78;34,78;52,17
RUE DES DARIELLES (85180);13;MAIRIE ANNEXE DU CHATEAU D'OLONNE;33,01;19;11;1,73;52,05;36,84;36,84
BOULEVARD LAPLACE (85100);3;CONSERVATOIRE MARIN MARAIS;33,01;57;31;1,84;59,35;29,82;45,61
RUE AUGUSTE BOISARD (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;33,00;21;13;1,62;50,10;71,43;47,62
RUE DE LA FREMONDIERE [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;33,00;14;8;1,75;38,14;78,57;42,86
RUE DES AGATES [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;33,00;26;19;1,37;44,15;57,69;46,15
RUE PAUL POIROUX (85340);31;LE STELLA;32,99;104;59;1,76;63,61;67,31;42,31
ALLEE DES CHALOUPES (85100);11;CENTRE DE LOISIRS DE L'ARMANDECHE N°2;32,99;17;8;2,13;57,29;47,06;52,94
IMPASSE DES CONSERVERIES (85100);12;SALLE DES FETES DE LA CHAUME N°2;32,99;15;8;1,88;54,53;40,00;33,33
IMPASSE GUSTAVE CRAIPEAU [CHATEAU D'OLONNE] (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;32,98;12;5;2,40;56,67;58,33;41,67
RUE DES GRANDES PRISES [CHATEAU D'OLONNE] (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;32,97;25;17;1,47;47,84;44,00;40,00
CHEMIN DE LA MARMETTE [CHATEAU D'OLONNE] (85180);21;LA MAISON DES SPORTS;32,95;18;10;1,80;53,56;44,44;50,00
BOULEVARD ARAGO (85100);4;ECOLE MATERNELLE CLEMENCEAU;32,94;28;14;2,00;58,93;42,86;50,00
RUE ALBERT CALMETTE [CHATEAU D'OLONNE] (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;32,93;21;13;1,62;39,67;23,81;52,38
PLACE CHARLES GOUNOD [CHATEAU D'OLONNE] (85180);16;ECOLE PRIMAIRE DES NOUETTES;32,93;12;8;1,50;46,83;41,67;41,67
RUE DU FIEF DES COUTS (85100);3;CONSERVATOIRE MARIN MARAIS;32,92;29;14;2,07;59,14;20,69;51,72
RUE DU PORT [OLONNE SUR MER] (85340);31;LE STELLA;32,92;14;10;1,40;45,14;28,57;42,86
RUE DE LA METAIRIE [CHATEAU D'OLONNE] (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;32,91;28;17;1,65;51,96;32,14;42,86
RUE ANITA CONTI [CHATEAU D'OLONNE] (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;32,91;10;7;1,43;44,80;30,00;60,00
RUE DE LA LEONIERE [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;32,90;18;10;1,80;53,72;38,89;38,89
RUE DE LA PAILLOLIERE (85340);31;LE STELLA;32,89;55;25;2,20;62,69;56,36;52,73
RUE DU ZENITH [CHATEAU D'OLONNE] (85180);20;COLONIE KER-NETRA;32,89;12;7;1,71;51,25;33,33;50,00
RUE DES ORCHIDEES [OLONNE SUR MER] (85340);27; GYMNASE DES CHIRONS;32,89;11;7;1,57;48,27;36,36;36,36
AVENUE JEAN JAURES (85100);2;AUDITORIUM SAINT-MICHEL;32,89;44;26;1,69;55,09;52,27;40,91
RUE DES PARCS (85180);21;LA MAISON DES SPORTS;32,86;62;35;1,77;59,16;59,68;46,77
COUREE DES JONCS (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;32,86;11;7;1,57;41,64;63,64;72,73
RUE LEON ET LEO DAVID (85100);4;ECOLE MATERNELLE CLEMENCEAU;32,85;127;75;1,69;62,69;33,86;42,52
RUE DES LISERONS (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;32,85;17;8;2,13;57,76;29,41;47,06
RUE DES COMEES (85100);11;CENTRE DE LOISIRS DE L'ARMANDECHE N°2;32,84;20;10;2,00;58,20;45,00;50,00
RUE SOEUR EMMANUELLE [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;32,84;74;52;1,42;53,86;25,68;40,54
ALLÉE DES ASTERS (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;32,84;33;16;2,06;59,94;57,58;57,58
RUE DE LA PAILLOLIERE [OLONNE SUR MER] (85340);31;LE STELLA;32,83;22;15;1,47;47,82;50,00;59,09
RUE DE LA PLAINE [CHATEAU D'OLONNE] (85180);16;ECOLE PRIMAIRE DES NOUETTES;32,83;28;16;1,75;54,29;46,43;42,86
IMPASSE DE GAHOU (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;32,83;14;7;2,00;57,43;50,00;42,86
RUE DES GRANGES [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;32,83;12;8;1,50;47,17;41,67;50,00
ALLEE DES MERISIERS (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;32,83;28;15;1,87;56,64;53,57;46,43
RUE JOSEPH BENATIER (85100);12;SALLE DES FETES DE LA CHAUME N°2;32,82;237;124;1,91;67,17;33,33;43,88
RUE DES GRANDS TERRAGES [CHATEAU D'OLONNE] (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;32,81;29;22;1,32;45,86;51,72;51,72
RUE DU VA'A (85100);8;ECOLE MATERNELLE DES JARDINS;32,81;15;8;1,88;55,13;46,67;33,33
RUE DU BASTION (85100);8;ECOLE MATERNELLE DES JARDINS;32,81;38;21;1,81;56,89;44,74;36,84
RUE DU ROUET (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;32,79;25;9;2,78;59,04;72,00;48,00
ROUTE DES AMIS DE LA NATURE (85340);33;COLONIE DE SAUVETERRE;32,78;94;59;1,59;60,12;53,19;43,62
RUE DU PRE POUBERT (85180);36;ECOLE PRIMAIRE RENE MILLET ;32,78;19;9;2,11;58,26;47,37;36,84
ROUTE ALEXANDRE SOLJENITSYNE [OLONNE SUR MER] (85340);26;LYCEE ERIC TABARLY;32,77;16;11;1,45;47,00;56,25;56,25
RUE DES NENUPHARS [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;32,76;46;36;1,28;47,48;26,09;43,48
ALLEE DU GILLIER (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;32,76;24;14;1,71;53,29;62,50;45,83
RUE DES GRIVES (85340);31;LE STELLA;32,75;44;22;2,00;61,70;70,45;56,82
ALLEE DES CLEMATITES (85340);26;LYCEE ERIC TABARLY;32,74;10;4;2,50;57,20;100,00;50,00
ALLEE DE LA PERGOLA [OLONNE SUR MER] (85340);27; GYMNASE DES CHIRONS;32,74;18;10;1,80;54,28;27,78;33,33
ALLÉE SEBASTIEN LAURENT (85100);7;SALLE AUDUBON N°1;32,73;13;7;1,86;35,23;46,15;38,46
IMPASSE MARIE BOIVIN [CHATEAU D'OLONNE] (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;32,73;13;7;1,86;54,77;15,38;61,54
AVENUE DE TALMONT [CHATEAU D'OLONNE] (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;32,73;23;14;1,64;51,83;30,43;43,48
RUE DES CYPRES [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;32,72;10;6;1,67;50,60;0,00;30,00
RUE DES SABLES [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;32,71;25;19;1,32;45,60;40,00;52,00
RUE SERPENTINE [CHATEAU D'OLONNE] (85180);35;SALLE AUDUBON N°2;32,70;10;7;1,43;44,10;60,00;40,00
RUE DES MURIERS (85100);12;SALLE DES FETES DE LA CHAUME N°2;32,70;54;35;1,54;54,06;38,89;59,26
IMPASSE DES LYS (85340);27; GYMNASE DES CHIRONS;32,70;15;10;1,50;48,00;60,00;46,67
AVENUE PAUL DOUMER (85100);7;SALLE AUDUBON N°1;32,69;82;42;1,95;66,02;34,15;42,68
IMPASSE HENRI BECQUEREL (85180);36;ECOLE PRIMAIRE RENE MILLET ;32,68;28;13;2,15;59,79;46,43;42,86
RUE AUGUSTE BOISARD [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;32,68;13;8;1,63;39,69;53,85;38,46
RUE DE LA CITE DES PINS [CHATEAU D'OLONNE] (85180);35;SALLE AUDUBON N°2;32,67;37;29;1,28;46,54;10,81;48,65
RUE DES FOSSES ROUGES [CHATEAU D'OLONNE] (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;32,67;24;18;1,33;45,96;29,17;37,50
ALLEE DE L'EPINE NOIRE (85100);11;CENTRE DE LOISIRS DE L'ARMANDECHE N°2;32,66;26;14;1,86;56,73;34,62;50,00
AVENUE FLEURIE (85100);35;SALLE AUDUBON N°2;32,66;55;31;1,77;58,95;20,00;52,73
RUE DES CANISSES [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;32,66;10;6;1,67;50,80;60,00;50,00
RUE DES FRERES MONTGOLFIER (85180);17;CENTRE DE LOISIRS DES PLESSES;32,65;60;30;2,00;64,17;36,67;53,33
RUE DES AGAURES (85100);11;CENTRE DE LOISIRS DE L'ARMANDECHE N°2;32,65;61;32;1,91;62,43;45,90;47,54
RUE FERNAND CHARPIN (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;32,64;16;9;1,78;53,88;62,50;43,75
RUE DES PROCRIS [OLONNE SUR MER] (85340);26;LYCEE ERIC TABARLY;32,64;20;15;1,33;45,55;50,00;40,00
RUE DES PENSEES (85340);27; GYMNASE DES CHIRONS;32,63;34;18;1,89;58,56;38,24;44,12
IMPASSE DES TOURMALINES (85340);30;OLONNESPACE;32,62;10;4;2,50;57,60;40,00;40,00
RUE DU VALLON [CHATEAU D'OLONNE] (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;32,61;16;9;1,78;54,00;43,75;43,75
RUE DU TOURBILLON [OLONNE SUR MER] (85340);31;LE STELLA;32,58;40;25;1,60;53,75;57,50;52,50
ALLEE DE LA MAISON NEUVE [OLONNE SUR MER] (85340);26;LYCEE ERIC TABARLY;32,57;29;18;1,61;52,52;62,07;48,28
IMPASSE LOUISON BOBET (85180);21;LA MAISON DES SPORTS;32,57;16;8;2,00;58,56;31,25;50,00
ALLEE DU FENOUIL (85340);34;CENTRE JEAN DE LA FONTAINE ;32,57;49;21;2,33;62,98;28,57;48,98
RUE JEAN SABLON (85180);36;ECOLE PRIMAIRE RENE MILLET ;32,56;19;8;2,38;59,00;42,11;47,37
RUE CHARLES NICOLLE (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;32,56;36;19;1,89;59,17;50,00;50,00
RUE MONTEBELLO (85100);10;HOTEL DE VILLE N°2;32,55;89;45;1,98;67,91;33,71;24,72
RUE DES PLESSES [CHATEAU D'OLONNE] (85180);17;CENTRE DE LOISIRS DES PLESSES;32,54;48;35;1,37;39,65;35,42;41,67
ALLEE DU FENOUIL [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;32,54;12;7;1,71;37,58;58,33;58,33
AVENUE DE BRETAGNE (85100);2;AUDITORIUM SAINT-MICHEL;32,52;173;110;1,57;61,38;26,59;40,46
IMPASSE DES PILETS [OLONNE SUR MER] (85340);31;LE STELLA;32,51;17;12;1,42;42,76;58,82;35,29
RUE DANIEL FRICAUD (85100);2;AUDITORIUM SAINT-MICHEL;32,49;65;36;1,81;61,46;35,38;44,62
RUE PARMENTIER [OLONNE SUR MER] (85340);30;OLONNESPACE;32,48;10;6;1,67;38,60;70,00;60,00
IMPASSE DES COLIBRIS (85100);9;OFFICE DU TOURISME DE LA GARE ;32,48;13;7;1,86;55,62;23,08;38,46
RUE D'OLONNE [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;32,48;11;7;1,57;49,64;27,27;45,45
RUE ERIC TABARLY [OLONNE SUR MER] (85340);26;LYCEE ERIC TABARLY;32,48;25;20;1,25;44,92;12,00;48,00
ALLEE PRE GRASSIERE [OLONNE SUR MER] (85340);30;OLONNESPACE;32,47;21;16;1,31;44,19;23,81;38,10
ALLEE DES EMERAUDES [OLONNE SUR MER] (85340);30;OLONNESPACE;32,47;13;9;1,44;42,62;23,08;46,15
IMPASSE MARCEL ACHARD (85180);36;ECOLE PRIMAIRE RENE MILLET ;32,47;17;9;1,89;56,82;47,06;29,41
RUE DU PALAIS (85100);1;HOTEL DE VILLE;32,45;125;76;1,64;63,06;28,80;45,60
RUE DES AUBEPINES (85100);2;AUDITORIUM SAINT-MICHEL;32,45;80;48;1,67;60,84;41,25;38,75
AVENUE CHARLES DE GAULLE [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;32,44;176;150;1,17;53,66;18,18;37,50
PLACE CAMILLE SAINT-SAENS (85180);16;ECOLE PRIMAIRE DES NOUETTES;32,44;32;23;1,39;48,97;53,13;39,39
RUE LOUIS BRAILLE (85100);10;HOTEL DE VILLE N°2;32,43;209;136;1,54;60,96;36,84;40,67
AVENUE ALCIDE GABARET (85100);4;ECOLE MATERNELLE CLEMENCEAU;32,43;87;52;1,67;61,97;31,03;34,48
RUE DES PRIMEVERES [OLONNE SUR MER] (85340);27; GYMNASE DES CHIRONS;32,43;21;12;1,75;54,71;9,52;57,14
RUE DES RENES (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;32,42;14;6;2,33;58,79;35,71;64,29
RUE JACQUES PETIT (85100);2;AUDITORIUM SAINT-MICHEL;32,39;29;15;1,93;59,55;41,38;41,38
RUE DU GENERAL HAXO (85100);10;HOTEL DE VILLE N°2;32,39;163;106;1,54;61,12;28,83;40,49
RUE DU SEXTANT (85180);20;COLONIE KER-NETRA;32,38;10;5;2,00;58,40;20,00;40,00
ROUTE DES AIRES [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;32,38;29;22;1,32;47,31;48,28;48,28
IMPASSE JEAN GABIN [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;32,36;16;9;1,78;54,81;12,50;43,75
RUE DES TAILLIS (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;32,36;32;17;1,88;59,06;56,25;50,00
